1,0
2,1
3,5
4,6
5,8
6,11
7,12
8,13
9,14
8,17
10,18
11,19
12,20
12,21
12,22
6,23
10,24
13,26
13,27
10,28
5,29
13,31
10,32
10,33
6,35
8,36
7,37
8,41
5,42
10,43
3,44
12,47
8,48
3,49
3,50
6,54
6,55
14,56
6,57
12,59
8,61
6,63
12,64
12,65
6,66
10,67
13,68
8,69
6,72
2,73
15,76
15,78
1,79
13,82
13,83
6,85
16,86
3,87
10,88
3,90
3,91
3,92
17,93
12,94
12,95
8,97
1,98
18,99
18,100
13,102
6,103
6,104
13,107
6,108
12,109
4,111
4,112
4,113
4,116
18,117
12,119
12,120
12,121
12,122
12,123
12,124
5,127
6,129
13,130
13,131
12,133
12,134
9,136
3,137
3,139
13,140
13,141
12,143
12,144
3,145
3,146
5,149
3,151
3,152
13,153
3,155
6,159
6,160
4,161
10,163
19,164
5,165
15,166
5,167
8,168
14,170
10,176
12,177
12,178
1,180
10,181
1,182
3,183
8,186
7,187
7,188
4,190
1,193
10,195
13,196
4,198
8,199
13,202
8,204
15,207
15,208
2,209
8,213
8,214
12,216
10,218
13,219
12,220
10,227
10,229
3,230
8,231
13,233
11,235
1,238
7,240
2,242
10,245
8,247
6,249
6,250
6,251
6,253
3,254
7,255
18,256
2,257
6,258
13,259
3,260
12,261
2,263
3,264
13,265
8,270
13,271
13,272
3,273
3,274
3,275
8,277
3,278
18,280
12,281
6,282
8,284
10,288
10,289
10,291
20,292
20,293
9,295
6,296
5,297
13,298
3,302
12,304
10,308
10,309
10,311
6,314
21,315
11,317
3,319
5,320
10,322
4,324
2,329
4,333
17,336
17,337
2,339
2,340
17,341
2,342
17,343
22,344
2,349
15,350
15,352
22,353
7,355
17,359
17,360
17,361
15,362
22,370
22,371
15,373
7,376
15,377
15,379
15,380
15,385
15,387
17,388
22,392
4,398
4,400
22,401
22,402
23,407
22,415
6,427
6,428
2,430
19,432
15,434
15,436
7,437
7,438
7,440
17,441
6,446
6,449
4,452
4,454
22,460
2,465
22,467
4,469
7,471
15,478
15,479
15,481
22,482
2,483
15,484
4,492
4,494
15,501
15,502
9,503
5,514
5,515
13,520
2,521
17,523
7,524
7,526
22,529
22,533
2,534
7,536
15,538
2,540
2,541
2,542
22,544
7,546
6,548
6,549
6,550
17,551
22,553
22,557
23,558
2,559
4,560
17,562
7,564
7,570
23,573
15,577
4,580
7,582
7,583
22,584
4,586
15,587
15,588
15,589
4,590
4,591
4,593
7,596
15,597
7,598
11,603
23,604
11,605
19,606
14,607
2,611
17,612
19,613
23,621
5,625
11,630
19,641
19,643
17,645
19,646
14,647
14,653
5,655
14,657
14,658
14,659
14,660
14,661
19,664
14,674
17,686
17,693
23,709
14,714
22,719
17,725
1,733
1,734
1,735
22,738
19,742
19,745
24,746
23,757
19,758
17,759
2,760
4,762
4,763
4,765
14,771
9,777
17,778
5,783
23,785
17,794
19,798
17,805
23,818
17,819
25,820
25,823
19,845
2,851
9,853
23,856
19,857
14,858
14,862
19,866
19,867
14,872
14,874
19,880
11,881
5,886
17,887
19,889
19,894
19,895
19,899
19,905
19,909
17,913
19,916
19,917
11,921
23,922
5,923
1,934
1,935
1,936
4,941
14,945
17,947
15,949
8,953
11,968
11,969
19,970
19,978
4,980
19,981
19,984
17,985
19,991
23,993
14,997
26,999
23,1001
23,1002
23,1003
17,1004
17,1006
19,1017
23,1023
15,1025
15,1026
23,1028
9,1033
14,1034
14,1035
14,1036
23,1039
19,1040
23,1042
23,1043
23,1044
14,1047
14,1048
14,1049
14,1050
14,1056
14,1057
5,1060
17,1061
7,1064
17,1067
5,1077
14,1079
9,1080
17,1081
17,1082
11,1088
19,1120
14,1121
5,1122
5,1123
7,1131
17,1149
14,1159
15,1162
14,1182
17,1187
17,1188
17,1189
2,1190
2,1196
23,1205
17,1216
14,1223
7,1228
9,1232
19,1233
17,1236
27,1238
23,1240
15,1244
4,1247
19,1254
14,1256
14,1257
14,1258
19,1260
19,1261
27,1277
14,1286
14,1299
